title,author,year,summary
The Great Gatsby,F. Scott Fitzgerald,1925,A novel set in the Jazz Age that tells the story of Jay Gatsby and his unrequited love for Daisy Buchanan.
1984,George Orwell,1949,"A dystopian novel about totalitarian surveillance, censorship, and the dangers of absolute political power."
To Kill a Mockingbird,Harper Lee,1960,"A story about racial injustice and moral growth in the Deep South, told through the eyes of a young girl named Scout Finch."
The Catcher in the Rye,J.D. Salinger,1951,"Follows the life of Holden Caulfield, a teenager who struggles with alienation and identity in postwar America."
Pride and Prejudice,Jane Austen,1813,"A romantic novel exploring manners, upbringing, morality, and marriage in 19th-century England."
Moby Dick,Herman Melville,1851,The quest of Captain Ahab to seek revenge on the giant white whale that bit off his leg.
War and Peace,Leo Tolstoy,1869,"A sweeping narrative about Russian society during the Napoleonic wars, blending history and fiction."
The Hobbit,J.R.R. Tolkien,1937,"The adventure of Bilbo Baggins, who joins a group of dwarves to reclaim their mountain home from a dragon."
The Lord of the Rings,J.R.R. Tolkien,1954,"An epic fantasy trilogy about the quest to destroy the One Ring and defeat Sauron, the Dark Lord."
Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997,"The first book in the Harry Potter series, introducing the young wizard and his adventures at Hogwarts."
The Da Vinci Code,Dan Brown,2003,"A thriller combining art, history, and conspiracy as Robert Langdon uncovers secrets hidden by the Catholic Church."
The Alchemist,Paulo Coelho,1988,A philosophical novel about a shepherd named Santiago who dreams of finding treasure in the pyramids of Egypt.
Brave New World,Aldous Huxley,1932,"A dystopian story about a future society driven by technology, conditioning, and a loss of individuality."
The Kite Runner,Khaled Hosseini,2003,"A story of friendship and betrayal in Afghanistan, exploring themes of guilt, redemption, and family ties."
Crime and Punishment,Fyodor Dostoevsky,1866,"The psychological journey of Raskolnikov, a man who commits murder and struggles with guilt and morality."
The Brothers Karamazov,Fyodor Dostoevsky,1880,"A philosophical drama about morality, free will, and faith, told through the lives of three brothers."
Anna Karenina,Leo Tolstoy,1877,"The tragic love affair of Anna Karenina, set against the backdrop of Russian high society."
Les Misérables,Victor Hugo,1862,The story of Jean Valjean’s redemption and struggles in 19th-century France.
The Count of Monte Cristo,Alexandre Dumas,1844,"A tale of betrayal, imprisonment, and ultimate revenge by Edmond Dantès."
Dracula,Bram Stoker,1897,The classic gothic horror novel introducing Count Dracula and the vampire myth.
Frankenstein,Mary Shelley,1818,"The story of Victor Frankenstein, who creates a living being that spirals out of control."
Don Quixote,Miguel de Cervantes,1605,A comic tale about a nobleman who believes he is a knight and sets out on misguided adventures.
The Odyssey,Homer,-800,The epic journey of Odysseus as he attempts to return home after the Trojan War.
The Iliad,Homer,-750,"The story of the Trojan War, focusing on the wrath of Achilles."
Meditations,Marcus Aurelius,180,A collection of Stoic philosophy and personal reflections by the Roman emperor.
Republic,Plato,-380,"A philosophical dialogue exploring justice, the ideal state, and the philosopher-king."
Nicomachean Ethics,Aristotle,-340,"A treatise on ethics, virtue, and the path to the good life."
Thus Spoke Zarathustra,Friedrich Nietzsche,1883,A philosophical novel introducing ideas like the Übermensch and eternal recurrence.
Beyond Good and Evil,Friedrich Nietzsche,1886,"A critique of traditional morality and philosophy, advancing Nietzsche’s radical views."
The Stranger,Albert Camus,1942,"An existential novel about Meursault, a man who is detached from society and its norms."
The Plague,Albert Camus,1947,"A novel exploring human resilience and solidarity during a deadly epidemic in Oran, Algeria."
One Hundred Years of Solitude,Gabriel García Márquez,1967,A magical realist saga of the Buendía family in the fictional town of Macondo.
Love in the Time of Cholera,Gabriel García Márquez,1985,The story of enduring love between Fermina Daza and Florentino Ariza over decades.
Fahrenheit 451,Ray Bradbury,1953,A dystopian novel where books are banned and firemen burn any that are found.
Dune,Frank Herbert,1965,"A science fiction epic about politics, religion, and ecology on the desert planet Arrakis."
Foundation,Isaac Asimov,1951,A sci-fi series about the fall of a galactic empire and the science of psychohistory.
"I, Robot",Isaac Asimov,1950,A collection of short stories exploring robotics and the Three Laws of Robotics.
Neuromancer,William Gibson,1984,"The novel that pioneered cyberpunk, featuring artificial intelligence and cyberspace."
Snow Crash,Neal Stephenson,1992,"A cyberpunk novel exploring the Metaverse, hacking, and a digital virus."
Cryptonomicon,Neal Stephenson,1999,A novel weaving together WWII codebreakers and modern cryptography entrepreneurs.
The Road,Cormac McCarthy,2006,A bleak post-apocalyptic journey of a father and son struggling to survive.
Blood Meridian,Cormac McCarthy,1985,A violent Western about the Glanton gang and themes of destiny and chaos.
Beloved,Toni Morrison,1987,"A haunting novel about slavery, memory, and the supernatural presence of a dead child."
Song of Solomon,Toni Morrison,1977,A multigenerational story exploring African-American identity and folklore.
Invisible Man,Ralph Ellison,1952,"A novel about race, identity, and invisibility in mid-20th-century America."
Native Son,Richard Wright,1940,The story of Bigger Thomas and systemic racism in Chicago during the 1930s.
Things Fall Apart,Chinua Achebe,1958,"The story of Okonkwo, an Igbo leader, and the impact of colonialism in Nigeria."
Half of a Yellow Sun,Chimamanda Ngozi Adichie,2006,A novel about the Nigerian Civil War and the personal stories intertwined with it.
Americanah,Chimamanda Ngozi Adichie,2013,"A story about love, identity, and migration between Nigeria, the UK, and the US."
